900,50463.332
900.13,50046.6641
900.25,50084.9961
900.38,49666.6641
900.5,50023.332
900.63,50023.332
900.75,49516.6641
900.88,50224.9961
901,49798.332
901.13,49986.6641
901.25,49991.6641
901.38,50156.6641
901.5,50029.9961
901.63,49974.9961
901.75,49473.332
901.88,49978.332
902,49626.6641
902.13,49743.332
902.25,49511.6641
902.38,49908.332
902.5,50293.332
902.63,49749.9961
902.75,50123.332
902.88,49689.9961
903,50389.9961
903.13,49766.6641
903.25,49999.9961
903.38,49721.6641
903.5,49746.6641
903.63,49358.332
903.75,50176.6641
903.88,49874.9961
904,49514.9961
904.13,49879.9961
904.25,49614.9961
904.38,49948.332
904.5,49481.6641
904.63,49823.332
904.75,49561.6641
904.88,49849.9961
905,49574.9961
905.13,49989.9961
905.25,50106.6641
905.38,49826.6641
905.5,49323.332
905.63,49784.9961
905.75,49786.6641
905.88,49459.9961
906,49814.9961
906.13,49618.332
906.25,49758.332
906.38,49599.9961
906.5,49458.332
906.63,49031.6641
906.75,49601.6641
906.88,49169.9961
907,49258.332
907.13,49756.6641
907.25,49428.332
907.38,49276.6641
907.5,49533.332
907.63,49626.6641
907.75,49284.9961
907.88,49424.9961
908,49048.332
908.13,49234.9961
908.25,48706.6641
908.38,49071.6641
908.5,48960
908.63,49033.332
908.75,48606.6641
908.88,49564.9961
909,48651.6641
909.13,49036.6641
909.25,48865
909.38,49203.332
909.5,49619.9961
909.63,49063.332
909.75,49544.9961
909.88,48650
910,49128.332
910.13,48468.332
910.25,49631.6641
910.38,48708.332
910.5,49186.6641
910.63,48693.332
910.75,49498.332
910.88,49043.332
911,49058.332
911.13,49038.332
911.25,49266.6641
911.38,48631.6641
911.5,48911.6641
911.63,48296.6641
911.75,48930
911.88,48838.332
912,48413.332
912.13,48723.332
912.25,49286.6641
912.38,49211.6641
912.5,49376.6641
912.63,48638.332
912.75,48765
912.88,48696.6641
913,48580
913.13,48600
913.25,48868.332
913.38,48506.6641
913.5,48588.332
913.63,48735
913.75,48376.6641
913.88,48781.6641
914,49154.9961
914.13,49105
914.25,48618.332
914.38,48856.6641
914.5,48538.332
914.63,48508.332
914.75,48800
914.88,48315
915,48735
915.13,48325
915.25,48813.332
915.38,48190
915.5,48540
915.63,48763.332
915.75,48533.332
915.88,48718.332
916,48250
916.13,48740
916.25,48785
916.38,48473.332
916.5,48558.332
916.63,47938.332
916.75,48766.6641
916.88,47986.6641
917,48793.332
917.13,48145
917.25,48278.332
917.38,48260
917.5,48043.332
917.63,48771.6641
917.75,47820
917.88,48366.6641
918,48345
918.13,48581.6641
918.25,48503.332
918.38,48606.6641
918.5,48318.332
918.63,48096.6641
918.75,48328.332
918.88,48246.6641
919,48143.332
919.13,48356.6641
919.25,48553.332
919.38,48430
919.5,48171.6641
919.63,47660
919.75,48245
919.88,47521.6641
920,48106.6641
920.13,47690
920.25,48151.6641
920.38,48368.332
920.5,48201.6641
920.63,48245
920.75,47950
920.88,48253.332
921,48260
921.13,48115
921.25,47958.332
921.38,48016.6641
921.5,48066.6641
921.63,47995
921.75,47933.332
921.88,48651.6641
922,48233.332
922.13,48250
922.25,48130
922.38,48205
922.5,48631.6641
922.63,48270
922.75,48160
922.88,48068.332
923,47313.332
923.13,48095
923.25,48110
923.38,48076.6641
923.5,47980
923.63,48038.332
923.75,48005
923.88,47928.332
924,47841.6641
924.13,48191.6641
924.25,48008.332
924.38,47913.332
924.5,48523.332
924.63,48251.6641
924.75,48141.6641
924.88,48335
925,48730
925.13,48838.332
925.25,48291.6641
925.38,48435
925.5,48653.332
925.63,48401.6641
925.75,48851.6641
925.88,49033.332
926,48801.6641
926.13,48486.6641
926.25,48751.6641
926.38,48461.6641
926.5,48385
926.63,49000
926.75,48778.332
926.88,48806.6641
927,48930
927.13,49033.332
927.25,49070
927.38,49538.332
927.5,49611.6641
927.63,49531.6641
927.75,49673.332
927.88,48835
928,49629.9961
928.13,49714.9961
928.25,49879.9961
928.38,50239.9961
928.5,50146.6641
928.63,50501.6641
928.75,51124.9961
928.88,51461.6641
929,51494.9961
929.13,51099.9961
929.25,52588.332
929.38,52346.6641
929.5,52969.9961
929.63,53696.6641
929.75,54484.9961
929.88,54758.332
930,55293.332
930.13,55816.6641
930.25,57119.9961
930.38,58096.6641
930.5,59573.332
930.63,61516.6641
930.75,63616.6641
930.88,65761.6641
931,68541.6641
931.13,71555
931.25,76296.6641
931.38,82170
931.5,89345
931.63,99513.3281
931.75,113053.3281
931.88,131913.3281
932,159215
932.13,196363.3281
932.25,247056.6563
932.38,304778.3125
932.5,361895
932.63,400558.3125
932.75,406796.6563
932.88,380068.3125
933,333745
933.13,280186.6563
933.25,233008.3281
933.38,194483.3281
933.5,165935
933.63,143916.6563
933.75,127766.6641
933.88,115003.3281
934,105884.9922
934.13,98823.3281
934.25,93026.6641
934.38,88413.3281
934.5,84708.3281
934.63,81970
934.75,80008.3281
934.88,78223.3281
935,75976.6641
935.13,75366.6641
935.25,74045
935.38,74196.6641
935.5,73395
935.63,73240
935.75,73230
935.88,72323.3281
936,72706.6641
936.13,71838.3281
936.25,71846.6641
936.38,71626.6641
936.5,71513.3281
936.63,71551.6641
936.75,71171.6641
936.88,71145
937,70523.3281
937.13,70376.6641
937.25,70198.3281
937.38,69195
937.5,69046.6641
937.63,68956.6641
937.75,69451.6641
937.88,69443.3281
938,68491.6641
938.13,68000
938.25,68640
938.38,67895
938.5,68230
938.63,68008.3281
938.75,68500
938.88,67911.6641
939,68116.6641
939.13,68318.3281
939.25,68015
939.38,68216.6641
939.5,68368.3281
939.63,67985
939.75,68015
939.88,68251.6641
940,67736.6641
940.13,67675
940.25,67963.3281
940.38,67476.6641
940.5,67450
940.63,67833.3281
940.75,67610
940.88,67745
941,67183.3281
941.13,67506.6641
941.25,67956.6641
941.38,68590
941.5,67996.6641
941.63,68496.6641
941.75,68871.6641
941.88,69380
942,69360
942.13,69798.3281
942.25,70066.6641
942.38,70773.3281
942.5,70830
942.63,71385
942.75,72098.3281
942.88,72376.6641
943,72915
943.13,72641.6641
943.25,73105
943.38,73588.3281
943.5,74140
943.63,73813.3281
943.75,74545
943.88,73840
944,75253.3281
944.13,74658.3281
944.25,75291.6641
944.38,76270
944.5,75846.6641
944.63,76143.3281
944.75,76058.3281
944.88,76783.3281
945,77061.6641
945.13,76573.3281
945.25,77541.6641
945.38,77761.6641
945.5,78385
945.63,78533.3281
945.75,79260
945.88,79385
946,80320
946.13,80138.3281
946.25,80381.6641
946.38,80681.6641
946.5,80638.3281
946.63,80691.6641
946.75,80831.6641
946.88,81013.3281
947,81680
947.13,80981.6641
947.25,81403.3281
947.38,81001.6641
947.5,81770
947.63,81305
947.75,81911.6641
947.88,81818.3281
948,81736.6641
948.13,82743.3281
948.25,82106.6641
948.38,82766.6641
948.5,82883.3281
948.63,83195
948.75,82908.3281
